Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Track Duration (ms)
Intentions,"Justin Bieber, Quavo",Intentions,Justin Bieber,2020-02-07,https://i.scdn.co/image/ab67616d0000b27308e30ab6a058429303d75876,212868
Starboy,"The Weeknd, Daft Punk",Starboy,The Weeknd,2016-11-25,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,230453
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",Seven (feat. Latto),"Jung Kook, Latto",2023-07-14,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,184400
Back In Black,AC/DC,Back In Black,AC/DC,1980-07-25,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,255493
Hate Me (with Juice WRLD),"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD),"Ellie Goulding, Juice WRLD",2019-06-26,https://i.scdn.co/image/ab67616d0000b273dc854e032e8588d5e75eebc6,186223
Nightmare,Halsey,Nightmare,Halsey,2019-05-17,https://i.scdn.co/image/ab67616d0000b2730db100d30d1ef9a91aefeabf,231998
Temperature,Sean Paul,The Trinity,Sean Paul,2005-09-26,https://i.scdn.co/image/ab67616d0000b27369ba684e533706bafe248ef3,218573
Can t Feel My Face,The Weeknd,Beauty Behind The Madness,The Weeknd,2015-08-28,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,213520
1st Gen,Shuba,1st Gen,Shuba,2023-07-21,https://i.scdn.co/image/ab67616d0000b2730fcdc29d1c5012cdb811f0d3,140000
Set Fire to the Rain,Adele,21,Adele,2011-01-24,https://i.scdn.co/image/ab67616d0000b273164feb363334f93b6458d2a9,242973
What It Is (Block Boy) (with Kodak Black),"Doechii, Kodak Black",What It Is (Block Boy) (with Kodak Black),Doechii,2023-03-17,https://i.scdn.co/image/ab67616d0000b273c8f2c1cfe0bdb686c659b641,223343
What It Is (Solo Version),Doechii,What It Is (Versions),Doechii,2023-03-17,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba,189824
I m Just Ken (From Barbie The Album),Ryan Gosling,I m Just Ken (From Barbie The Album),Ryan Gosling,2023-07-21,https://i.scdn.co/image/ab67616d0000b27312b7b6e520d6ac082b520e64,222633
Love Like This,ZAYN,Love Like This,ZAYN,2023-07-21,https://i.scdn.co/image/ab67616d0000b27381f97190f6fc196ee0d697c1,173303
E.T.,"Katy Perry, Kanye West",Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616,229573
Rockstar,"Ilkay Sencan, Dynoro",Rockstar,"Ilkay Sencan, Dynoro",2019-06-21,https://i.scdn.co/image/ab67616d0000b273a1d56525c3380e5cbda5f48f,212280
Mood (feat. iann dior),"24kGoldn, iann dior",El Dorado,24kGoldn,2021-03-26,https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5,140533
Don t Blame Me,Taylor Swift,reputation,Taylor Swift,2017-11-10,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,236413
How You Like That,BLACKPINK,THE ALBUM,BLACKPINK,2020-10-02,https://i.scdn.co/image/ab67616d0000b2731895052324f123becdd0d53d,180956
Lilith,Halsey,"If I Can t Have Love, I Want Power",Halsey,2021-08-27,https://i.scdn.co/image/ab67616d0000b2731f9f8d93bf43b569817af0a4,167240
Wonderland,Taylor Swift,1989 (Deluxe),Taylor Swift,2014-01-01,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,245560
Hurts So Good,Astrid S,Astrid S,Astrid S,2016-05-20,https://i.scdn.co/image/ab67616d0000b27331e760ae51990e7d9a32593a,208728
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",2015,https://i.scdn.co/image/ab67616d0000b2734e5df11b17b2727da2b718d8,229525
See You,Johnny Orlando,It s Never Really Over (Expanded),Johnny Orlando,2020-12-22,https://i.scdn.co/image/ab67616d0000b273fb0ea2ab8c0a71549518e6fd,175145
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, SUGA",Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, SUGA",2023-06-05,https://i.scdn.co/image/ab67616d0000b273f19310c007c0fad365b0542e,180933
Bad At Love,Halsey,hopeless fountain kingdom (Deluxe),Halsey,2017-06-02,https://i.scdn.co/image/ab67616d0000b2730f7ad6d8d829906c17cae210,181279
Sunroof,"Nicky Youre, dazy",Sunroof,"Nicky Youre, dazy",2021-12-03,https://i.scdn.co/image/ab67616d0000b2732d03cfe61f9e398fa2f68c65,163025
Safari,Serena,Safari,Serena,2017-11-28,https://i.scdn.co/image/ab67616d0000b273d4ecc9efa75fb775522a78af,187408
Faded,Alan Walker,Different World,Alan Walker,2018-12-14,https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a,212106
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2018-04-06,https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,214846
Watermelon Sugar,Harry Styles,Fine Line,Harry Styles,2019-12-13,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,174000
i m yours,Isabel LaRosa,i m yours,Isabel LaRosa,2022-10-28,https://i.scdn.co/image/ab67616d0000b2737f73e6587c8ced7cad6e1e02,145667
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",2021-07-09,https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5,141805
MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,Elley Duhé,2020-01-10,https://i.scdn.co/image/ab67616d0000b27353a2e11c1bde700722fecd2e,184447
SNAP,Rosa Linn,SNAP,Rosa Linn,2022-03-19,https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224,179551
Unstoppable,Sia,This Is Acting,Sia,2016-01-29,https://i.scdn.co/image/ab67616d0000b27349e0134c686547c28b7c999f,217746
...Ready For It?,Taylor Swift,reputation,Taylor Swift,2017-11-10,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,208186
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Delirium (Deluxe),Ellie Goulding,2015-11-06,https://i.scdn.co/image/ab67616d0000b2736bdee14242f244d9d6ddf2fd,252534
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",2018-07-12,https://i.scdn.co/image/ab67616d0000b2733154f0bdf9a17385d7afc6ba,173799
Pray For Me,"The Weeknd, Kendrick Lamar",The Highlights,The Weeknd,2021-02-05,https://i.scdn.co/image/ab67616d0000b27312a76d1b13ef07188f7dfbc9,211420
I Gave Everything,"Connor Price, GRAHAM",I Gave Everything,"Connor Price, GRAHAM",2023-05-19,https://i.scdn.co/image/ab67616d0000b273a1612b08a7bdeebf4e0c4883,134942
Drop,"Connor Price, Zensery",Spin The Globe,Connor Price,2023-01-27,https://i.scdn.co/image/ab67616d0000b27348113e42e6364509694507d2,128690
Violet,"Connor Price, Killa",Spin The Globe,Connor Price,2023-01-27,https://i.scdn.co/image/ab67616d0000b27348113e42e6364509694507d2,122880
Spinnin,"Connor Price, Bens",Spin The Globe,Connor Price,2023-01-27,https://i.scdn.co/image/ab67616d0000b27348113e42e6364509694507d2,110938
Bad Liar,Imagine Dragons,Origins (Deluxe),Imagine Dragons,2018-11-09,https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd,260773
Worth It (feat. Kid Ink),"Fifth Harmony, Kid Ink",Reflection (Deluxe),Fifth Harmony,2015-01-30,https://i.scdn.co/image/ab67616d0000b2735bdd9e580fdda5e676a25e6a,224573
Miss You (When You re Gone),"Connor Price, Chloe Sagum",Miss You (When You re Gone),"Connor Price, Chloe Sagum",2023-04-28,https://i.scdn.co/image/ab67616d0000b2732e99608e80c64955dc9497fc,171258
Often - Kygo Remix,"The Weeknd, Kygo",Often (Kygo Remix),The Weeknd,2015-04-07,https://i.scdn.co/image/ab67616d0000b273cc453150b04581f1295e1e36,234400
"Living Life, In The Night","Cheriimoya, Sierra Kidd","Living Life, In The Night","Cheriimoya, Sierra Kidd",2018-10-13,https://i.scdn.co/image/ab67616d0000b273cbb98a272f05e3bbcd08fe7d,122517
